All;;;;;Allgemeines;;;
Buc;A;;;800;Buch und Schrift;Buchwesen, Buchgeschichte;Mikroformen;
Buc;B;;;;Buch und Schrift;Buchdruck, Buchvertrieb;;
Buc;B;;;200;Buch und Schrift;Buchdruck, Buchvertrieb;Bilddruck, Illustrationsdruck, Reproduktion;
Buc;B;;;400;Buch und Schrift;Buchdruck, Buchvertrieb;Verlagswesen;
Buc;B;;;500;Buch und Schrift;Buchdruck, Buchvertrieb;Barsortiment;
Buc;B;;;600;Buch und Schrift;Buchdruck, Buchvertrieb;Buchhandel;
Buc;B;;;700;Buch und Schrift;Buchdruck, Buchvertrieb;Antiquariat;
Buc;B;;;800;Buch und Schrift;Buchdruck, Buchvertrieb;Musikalienhandel;
Buc;D;;;;Buch und Schrift;Schriftwesen;;
Buc;D;;;100;Buch und Schrift;Schriftwesen;Kalligraphie;
Buc;D;;;200;Buch und Schrift;Schriftwesen;Handschriftenkunde;
Buc;D;;;300;Buch und Schrift;Schriftwesen;Epigraphik;
Buc;D;;;500;Buch und Schrift;Schriftwesen;Papyruskunde;
Buc;D;;;600;Buch und Schrift;Schriftwesen;Ostraka;
Buc;D;;;700;Buch und Schrift;Schriftwesen;Autographenkunde;
Buc;D;;;1000;Buch und Schrift;Schriftwesen;Stenographie;
Buc;D;;;1500;Buch und Schrift;Schriftwesen;Blindenschrift;
Buc;E;;;;Buch und Schrift;Wortschriften, Silbenschriften;;
Buc;E;;;100;Buch und Schrift;Wortschriften, Silbenschriften;Ägyptische Schrift;
Buc;E;;;200;Buch und Schrift;Wortschriften, Silbenschriften;Keilschrift;
Buc;E;;;300;Buch und Schrift;Wortschriften, Silbenschriften;Indusschrift;
Buc;E;;;400;Buch und Schrift;Wortschriften, Silbenschriften;Hethitische Hieroglyphen;
Buc;E;;;500;Buch und Schrift;Wortschriften, Silbenschriften;Kretisch-mykenischer Schriftkreis;
Buc;E;;;600;Buch und Schrift;Wortschriften, Silbenschriften;Persische Keilschrift;
Buc;E;;;700;Buch und Schrift;Wortschriften, Silbenschriften;Chinesische Schrift;
Buc;E;;;800;Buch und Schrift;Wortschriften, Silbenschriften;Japanische Schrift;
Buc;F;;;;Buch und Schrift;Buchstabenschriften;;
Buc;F;;;100;Buch und Schrift;Buchstabenschriften;Altsemitische Buchstabenschriften;
Buc;F;;;200;Buch und Schrift;Buchstabenschriften;Hebräische Schrift;
Buc;F;;;300;Buch und Schrift;Buchstabenschriften;Arabische Schrift;
Buc;F;;;400;Buch und Schrift;Buchstabenschriften;Syrische Schrift;
Buc;F;;;700;Buch und Schrift;Buchstabenschriften;Altkleinasiatische Alphabetschriften;
Buc;F;;;800;Buch und Schrift;Buchstabenschriften;Griechische Schrift;
Buc;F;;;1000;Buch und Schrift;Buchstabenschriften;Koptische Schrift;
Buc;F;;;1100;Buch und Schrift;Buchstabenschriften;Etruskische Schrift;
Buc;F;;;1200;Buch und Schrift;Buchstabenschriften;Lateinische Schrift;
Buc;F;;;1500;Buch und Schrift;Buchstabenschriften;Runenkunde;
Buc;F;;;1600;Buch und Schrift;Buchstabenschriften;Kyrillische Schrift;
Buc;F;;;1800;Buch und Schrift;Buchstabenschriften;Georgische Schrift;
Buc;F;;;1900;Buch und Schrift;Buchstabenschriften;Armenische Schrift;
Buc;F;;;2000;Buch und Schrift;Buchstabenschriften;Aramaide innerasiatische Schriftsysteme;
Buc;F;;;3000;Buch und Schrift;Buchstabenschriften;Indische Schriften und Ableitungen;
Geo;;;;;Geowissenschaften;;;
Geo;A;;;;Geowissenschaften;Allgemeines;;
Geo;A;;;100;Geowissenschaften;Allgemeines;Geodäsie;
Geo;A;;;200;Geowissenschaften;Allgemeines;Kartographie;
Geo;A;;;400;Geowissenschaften;Allgemeines;Fernerkundung;
Geo;B;;;;Geowissenschaften;Geographie, Länderkunde;;
Geo;B;;;100;Geowissenschaften;Geographie, Länderkunde;Landeskunde;
Geo;B;;;1100;Geowissenschaften;Geographie, Länderkunde;Physische Geographie;
Geo;B;;;1300;Geowissenschaften;Geographie, Länderkunde;Klimatologie;
Geo;B;;;1500;Geowissenschaften;Geographie, Länderkunde;Geomorphologie;
Geo;B;;;1800;Geowissenschaften;Geographie, Länderkunde;Hydrographie, Hydrogeographie;
Geo;B;;;1900;Geowissenschaften;Geographie, Länderkunde;Ozeanographie;
Geo;B;;;2100;Geowissenschaften;Geographie, Länderkunde;Anthropogeographie;
Geo;B;;;2200;Geowissenschaften;Geographie, Länderkunde;Siedlungsgeographie;
Geo;B;;;2400;Geowissenschaften;Geographie, Länderkunde;Wirtschaftsgeographie;
Geo;B;;;2600;Geowissenschaften;Geographie, Länderkunde;Verkehrsgeographie;
Geo;C;;;;Geowissenschaften;Raumforschung, Raumordnung, Raumplanung, Umweltplanung;;
Geo;C;;;200;Geowissenschaften;Raumforschung, Raumordnung, Raumplanung, Umweltplanung;Bundesplanung, Landesplanung;
Geo;C;;;400;Geowissenschaften;Raumforschung, Raumordnung, Raumplanung, Umweltplanung;Regionalforschung, Regionalplanung;
Geo;C;;;500;Geowissenschaften;Raumforschung, Raumordnung, Raumplanung, Umweltplanung;Stadtforschung, Gemeindeplanung, Stadtplanung, Bauleitplanung;
Geo;C;;;2000;Geowissenschaften;Raumforschung, Raumordnung, Raumplanung, Umweltplanung;Umweltforschung, Umweltschutz;
Geo;D;;;;Geowissenschaften;Entdeckungen, Reisen;;
Geo;E;;;;Geowissenschaften;Geologie;;
Geo;F;;;;Geowissenschaften;Paläontologie;;
Geo;G;;;;Geowissenschaften;Mineralogie, Petrographie;;
Geo;K;;;;Geowissenschaften;Geophysik;;
Geo;K;;;500;Geowissenschaften;Geophysik;Physik der festen Erde, angewandte Geophysik;
Geo;K;;;800;Geowissenschaften;Geophysik;Hydrologie des Festlandes;
Geo;K;;;900;Geowissenschaften;Geophysik;Physikalische Ozeanographie;
Geo;K;;;1300;Geowissenschaften;Geophysik;Meteorologie;
Geo;K;;;1500;Geowissenschaften;Geophysik;Aeronomie;
Geo;M;;;;Geowissenschaften;Geochemie;;
Geo;M;;;500;Geowissenschaften;Geochemie;Chemie der festen Erde;
Geo;M;;;800;Geowissenschaften;Geochemie;Chemie der Hydrosphäre;
Geo;M;;;1300;Geowissenschaften;Geochemie;Chemie der Atmosphäre;
Ges;;;;;Geschichte;;;
Ges;;A;;;Geschichte;Allgemeines;;
Ges;;A;;100;Geschichte;Allgemeines;Altertum bis 500 .n. Chr.;
Ges;;A;;200;Geschichte;Allgemeines;Altertum bis 3000 v. Chr.;
Ges;;A;;300;Geschichte;Allgemeines;Altertum 3000 - 2000;
Ges;;A;;400;Geschichte;Allgemeines;Altertum 2000 - 1000;
Ges;;A;;500;Geschichte;Allgemeines;Altertum 1000 - 500;
Ges;;A;;600;Geschichte;Allgemeines;Altertum 500 - 0;
Ges;;A;;800;Geschichte;Allgemeines;Altertum 0 - 500;
Ges;;A;;1000;Geschichte;Allgemeines;Mittelalter 400/500 - 1500;
Ges;;A;;1300;Geschichte;Allgemeines;Frühes Mittelalter 400 - 900;
Ges;;A;;1500;Geschichte;Allgemeines;Hohes Mittelalter 900 - 1200/1250;
Ges;;A;;1700;Geschichte;Allgemeines;Spätes Mittelalter 1200 - 1500;
Ges;;A;;2000;Geschichte;Allgemeines;Neuzeit 1500 - 2000;
Ges;;A;;2300;Geschichte;Allgemeines;Frühe Neuzeit 1500 - 1789/1815;
Ges;;A;;2500;Geschichte;Allgemeines;Spätere Neuzeit 1789 - 2000;
Ges;;A;;2600;Geschichte;Allgemeines;(nur f.d.franz. Geschichte) 1789 - 1815;
Ges;;A;;2700;Geschichte;Allgemeines;19. Jahrhundert 1789 - 1914;
Ges;;A;;2800;Geschichte;Allgemeines;(nur f.d. europäische Geschichte) 1848 - 1914;
Ges;;A;;3000;Geschichte;Allgemeines;20. Jahrhundert (Zeitgeschichte) 1914 - 2000;
Ges;;A;;3200;Geschichte;Allgemeines;Zeit des 1. Weltkrieges 1914 - 1919;
Ges;;A;;3300;Geschichte;Allgemeines;Zwischenkriegszeit 1919 - 1939;
Ges;;A;;3400;Geschichte;Allgemeines;(nur f.d. deutsche Geschichte) 1933 - 1945;
Ges;;A;;3500;Geschichte;Allgemeines;Zeit des 2. Weltkrieges 1939 - 1945;
Ges;;A;;3700;Geschichte;Allgemeines;Nachkriegszeit 1945 - 2000;
Ges;;Ac;;;Geschichte;Allgemeines;Weltgeschichte;
Ges;;Ac;;100;Geschichte;Allgemeines;Weltgeschichte;Altertum bis 500 .n. Chr.
Ges;;Ac;;200;Geschichte;Allgemeines;Weltgeschichte;Altertum bis 3000 v. Chr.
Ges;;Ac;;300;Geschichte;Allgemeines;Weltgeschichte;Altertum 3000 - 2000
Ges;;Ac;;400;Geschichte;Allgemeines;Weltgeschichte;Altertum 2000 - 1000
Ges;;Ac;;500;Geschichte;Allgemeines;Weltgeschichte;Altertum 1000 - 500
Ges;;Ac;;600;Geschichte;Allgemeines;Weltgeschichte;Altertum 500 - 0
Ges;;Ac;;800;Geschichte;Allgemeines;Weltgeschichte;Altertum 0 - 500
Ges;;Ac;;1000;Geschichte;Allgemeines;Weltgeschichte;Mittelalter 400/500 - 1500
Ges;;Ac;;1300;Geschichte;Allgemeines;Weltgeschichte;Frühes Mittelalter 400 - 900
Ges;;Ac;;1500;Geschichte;Allgemeines;Weltgeschichte;Hohes Mittelalter 900 - 1200/1250
Ges;;Ac;;1700;Geschichte;Allgemeines;Weltgeschichte;Spätes Mittelalter 1200 - 1500
Ges;;Ac;;2000;Geschichte;Allgemeines;Weltgeschichte;Neuzeit 1500 - 2000
Ges;;Ac;;2300;Geschichte;Allgemeines;Weltgeschichte;Frühe Neuzeit 1500 - 1789/1815
Ges;;Ac;;2500;Geschichte;Allgemeines;Weltgeschichte;Spätere Neuzeit 1789 - 2000
Ges;;Ac;;2600;Geschichte;Allgemeines;Weltgeschichte;(nur f.d.franz. Geschichte) 1789 - 1815
Ges;;Ac;;2700;Geschichte;Allgemeines;Weltgeschichte;19. Jahrhundert 1789 - 1914
Ges;;Ac;;2800;Geschichte;Allgemeines;Weltgeschichte;(nur f.d. europäische Geschichte) 1848 - 1914
Ges;;Ac;;3000;Geschichte;Allgemeines;Weltgeschichte;20. Jahrhundert (Zeitgeschichte) 1914 - 2000
Ges;;Ac;;3200;Geschichte;Allgemeines;Weltgeschichte;Zeit des 1. Weltkrieges 1914 - 1919
Ges;;Ac;;3300;Geschichte;Allgemeines;Weltgeschichte;Zwischenkriegszeit 1919 - 1939
Ges;;Ac;;3400;Geschichte;Allgemeines;Weltgeschichte;(nur f.d. deutsche Geschichte) 1933 - 1945
Ges;;Ac;;3500;Geschichte;Allgemeines;Weltgeschichte;Zeit des 2. Weltkrieges 1939 - 1945
Ges;;Ac;;3700;Geschichte;Allgemeines;Weltgeschichte;Nachkriegszeit 1945 - 2000
Ges;;B;;;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;;
Ges;;B;;100;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum bis 500 .n. Chr.;
Ges;;B;;200;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum bis 3000 v. Chr.;
Ges;;B;;300;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum 3000 - 2000;
Ges;;B;;400;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum 2000 - 1000;
Ges;;B;;500;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum 1000 - 500;
Ges;;B;;600;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum 500 - 0;
Ges;;B;;800;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Altertum 0 - 500;
Ges;;B;;1000;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Mittelalter 400/500 - 1500;
Ges;;B;;1300;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Frühes Mittelalter 400 - 900;
Ges;;B;;1500;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Hohes Mittelalter 900 - 1200/1250;
Ges;;B;;1700;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Spätes Mittelalter 1200 - 1500;
Ges;;B;;2000;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Neuzeit 1500 - 2000;
Ges;;B;;2300;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Frühe Neuzeit 1500 - 1789/1815;
Ges;;B;;2500;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Spätere Neuzeit 1789 - 2000;
Ges;;B;;2600;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;(nur f.d.franz. Geschichte) 1789 - 1815;
Ges;;B;;2700;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;19. Jahrhundert 1789 - 1914;
Ges;;B;;2800;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;(nur f.d. europäische Geschichte) 1848 - 1914;
Ges;;B;;3000;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;20. Jahrhundert (Zeitgeschichte) 1914 - 2000;
Ges;;B;;3200;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Zeit des 1. Weltkrieges 1914 - 1919;
Ges;;B;;3300;Geschichte;Antikes Griechenland und römisch-byzantinisches Reich;Zwischenkriegszeit 1919 - 1939;
