sachschl;name_1;name_2
60c;Beziehungen, Vergleiche zwischen Epochen, Geschichtliche Nachwirkungen;
61;Einzelne Orte, Länder;
62;Einzelne Völker;
63;Literatur zu Personen;
64;Systematische Darstellungen;Einführungen, Abrisse
65;;
66;Systematische Darstellungen;Umfassende Darstellungen, Handbücher
67;Teildarstellungen;Studien zum Fach
68;Teildarstellungen;Teilgebiete des Faches, Methodische Schulen (im Register)
69;Teildarstellungen;Teilgebiete des Faches, Kleinere Probleme des Faches (nicht im Register)
70;Teildarstellungen;Anwendungsgebiete
71;Essays, Theoretische Darstellungen, Kritik;Reden, Essays
72;Essays, Theoretische Darstellungen, Kritik;Theorie, Grundlagen, Philosophie des Faches
73;Essays, Theoretische Darstellungen, Kritik;Einzelfragen
74;Essays, Theoretische Darstellungen, Kritik;Kritik, Polemik, Reformen, Projekte, Pläne
75;;
76;;
77;;
78;;
79;;
80;Statistik;Literatur zur Statistik des Faches
81;Statistik;Statistisches Zahlenmaterial nach Regionen
82;Statistik;Statistik zu Teilgebieten des Faches
83;;
84;;
85;Übungsbücher;
87;Arbeitsmethoden, Verfahren;Arbeitsmethoden, Verfahren
88;Arbeitsmethoden, Verfahren;Arbeitsmittel, Geräte
89;Beziehungen, Vergleiche zu Sachbegriffen;
90;Allgemeine Schlagwortreihe (bei Bedarf);
91;Hauptschlagwortreihe;
92;Allgemeine Schlagwortreihe (bei Bedarf);
93;Allgemeine Schlagwortreihe (bei Bedarf);
