level,notation,prefLabel,scopeNote
2,05.39,"Massacommunicatie, massacommunicatiemiddelen: overige","Hierbij: grammofoonplaat, compact disk, beeldplaat"
1,05.40,Communicatietransport: algemeen,
2,05.41,Post,
2,05.42,Telecommunicatie,
2,05.43,Kabelsystemen,
2,05.49,Communicatietransport: overige,
1,05.70,Communicatie-industrie: algemeen,Hierbij: telematica
2,05.71,Telecommunicatie-industrie,
2,05.72,"Radio-industrie, televisie-industrie",
2,05.73,Fonografische industrie,
2,05.79,Communicatie-industrie: overige,
1,05.99,Communicatiewetenschap: overige,
0,06.00,Documentaire informatie: algemeen,"Toelichting: boekwetenschap, bibliotheekwetenschap, documentatiewetenschap en archiefwetenschap; Toelichting: zeer algemene boeken over het vakgebied en de vakbeoefening; Verwijzing: voor algemene bibliografieën, zie: 01.10-01.19 (algemene werken; bibliografieën)"
1,06.01,Geschiedenis van de documentaire informatie,
2,06.02,Geschiedenis van de boekwetenschap,Hierbij: geschiedenis van de handschriftenkunde
2,06.03,Geschiedenis van de bibliotheek- en documentatiewetenschap,
2,06.04,Geschiedenis van de archiefwetenschap,
1,06.05,"Onderwijs, beroepsuitoefening, organisaties",
1,06.07,Handschriften en boeken tezamen,
1,06.08,Materialen,"Toelichting: materiaal om documentaire informatie mee en/of op vast te leggen (papier, perkament, cd-rom, magneetband etc.); schrijfmateriaal (pennen, potloden, veren); Verwijzing: voor technische publicaties, zie: 54.80 (toepassingen van computersystemen, computertechniek: algemeen) en 58.23 (procestechnologie; textielindustrie, papierindustrie)"
1,06.09,"Schrift, schriftsoorten","Toelichting: algemeen; Verwijzing: voor kalligrafie, zie: 21.93 (afzonderlijke kunstvormen, schriftkunst)"
1,06.10,Handschriftenkunde: algemeen,
3,06.12,Codicologie,
3,06.13,Paleografie,Toelichting: wetenschap van de praktijk van het schrijven in de late oudheid en vroegmoderne tijd; Is: 15.26 (geschiedenis; paleografie)
3,06.14,"Catalogi, inventarissen","Verwijzing: voor catalogi en inventarissen van handschriften betreffende een bepaald onderwerp, zie aldaar"
3,06.15,"Individuele handschriften, facsimile's","Hierbij: publicaties die in hun geheel gewijd zijn aan een afzonderlijk handschrift; Verwijzing: voor (facsimile's van) handschriften betreffende een bepaald onderwerp, zie aldaar"
2,06.16,Handschriftenkunde: overige,
1,06.20,Het boek: algemeen,"Hierbij: publicaties over analytische bibliografie; Toelichting: publicaties over het gedrukte boek; publicaties over het elektronische boek; Verwijzing: voor andere informatiedragers, zie: 05.30 (communicatiewetenschap; massacommunicatie, massacommunicatiemiddelen: algemeen); Verwijzing: voor grafische techniek, zie: 52.87 (werktuigbouwkunde; druktechniek)"
2,06.21,Geschiedenis van het gedrukte boek,"Toelichting: studies over uitgeven, drukken, binden en/of boekhandel tezamen; Verwijzing: voor studies over uitgeven, drukken, binden en boekhandel afzonderlijk zie de betreffende rubrieken"
2,06.22,Vormgeving van gedrukte boeken,"Hierbij: typografie, boekkunst; Hierbij: lay-out, publicaties over vormgeving en vormgevers. Publicaties over kunstenaarsboeken vallen onder de hoofdrubriek kunst; Hierbij: publicaties die uitsluitend gewijd zijn aan de afbeeldingen bij emblemata; publicaties over boek- en tijdschriftillustraties; Verwijzing: voor computergraphics, zie: 54.73 (informatica; computergraphics)"
2,06.23,"Uitgeven, uitgeverij","Hierbij: elektronisch publiceren; Hierbij: uitgeverscatalogi; Verwijzing: voor uitgeverscatalogi met afzonderlijke onderwerpen, zie de betreffende rubrieken; Verwijzing: voor studies over uitgeven, drukken, binden en/of boekhandel tezamen, zie: 06.21 (geschiedenis van het gedrukte boek)"
2,06.24,"Drukken, drukkerij","Verwijzing: voor zuiver technische boeken, zie: 52.87 (werktuigbouwkunde; druktechniek); Verwijzing: voor studies over uitgeven, drukken, binden en/of boekhandel tezamen, zie: 06.21 (geschiedenis van het gedrukte boek)"
2,06.25,"Boekbinden, boekbinderij","Verwijzing: industriële boekbinderij, handboekbinderij, kunstboekbanden"
2,06.26,Boekhandel,"Hierbij: boekhandelscatalogi; Verwijzing: voor boekhandelscatalogi met afzonderlijke onderwerpen, zie de betreffende rubrieken; Verwijzing: voor studies over uitgeven, drukken, binden en/of boekhandel tezamen, zie: 06.21 (geschiedenis van het gedrukte boek)"
2,06.27,"Bibliofilie, bibliotheken van particulieren",Hierbij: catalogi van particuliere bibliotheken
2,06.29,Het boek: overige,
1,06.30,"Bibliotheekwezen, documentatiewezen: algemeen","Verwijzing: voor bibliotheekcatalogi, zie: 06.80 (bibliotheekcatalogi)"
2,06.31,"Geschiedenis van het bibliotheekwezen, documentatiewezen","Verwijzing: voor geschiedenis van afzonderlijke bibliotheken en documentatie- instellingen, zie 06.40-06.49 (documentaire informatie; instellingen)"
2,06.40,Instellingen: algemeen,Hierbij: publicaties over bibliotheekwezen in een land in het algemeen
3,06.41,Wetenschappelijke bibliotheken,"Hierbij: bibliotheek van het Vaticaan, Koninklijke Bibliotheek, overige nationale bibliotheken e.d."
3,06.42,Openbare bibliotheken,
3,06.43,Speciale bibliotheken,
3,06.44,Documentatie-instellingen,Hierbij: informatiecentra
3,06.49,Instellingen: overige,Hierbij: kloosterbibliotheken
2,06.50,Bibliotheekbeheer: algemeen,
3,06.51,"Bouw, inrichting",
3,06.52,"Bedrijfsvoering, personeel",
3,06.53,"Collectie, collectievorming",
3,06.54,Automatisering,"Toelichting: automatisering t.b.v. de bedrijfsvoering; Verwijzing: voor automatisering van ontsluiting e.d., zie: 06.70 e.v."
