level,notation,prefLabel@de,prefLabel@en
1,S:hg,Historische Geographie,Historical geography
1,S:gb,"Familiengeschichte, Genealogie (Stammtafeln, Insignien, Heraldik, Sphragistik, Namenkunde)","Biographies, genealogy (family trees, insignia, heraldry, sigillography, onomastics)"
1,S:bg,Buchgeschichte,History of books
1,S:bi,Bibliotheks- und Informationswissenschaften,Library and information sciences
1,S:sh,Sprachgeschichte,Historical linguistics
1,S:ls,Lateinische Sprache,Latin language
1,S:gs,Griechische Sprache,Ancient Greek language
1,S:ll,Lateinische Literatur,Latin literature
1,S:gl,Griechische Literatur,Ancient Greek Literature
1,S:gm,Musikgeschichte,History of music
0,Z,Epoche,Epoch
1,Z:20,Mittelalter,Middle Ages
2,Z:21,6.-12. Jh.,6th-12th century
2,Z:22,13. Jh.,13th century
2,Z:23,14. Jh.,14th century
2,Z:24,15. Jh.,15th century
1,Z:30,Neuzeit bis 1900,Modern history until 1900
2,Z:31,16. Jh.,16th century
2,Z:32,17. Jh.,17th century
2,Z:33,18. Jh.,18th century
2,Z:34,19. Jh.,19th century
2,Z:40,20. Jh.,20th century
3,Z:41,1900-1919,1900-1919
3,Z:42,1920-1929,1920-1929
3,Z:43,1930-1939,1930-1939
3,Z:44,1940-1949,1940-1949
3,Z:45,1950-1959,1950-1959
3,Z:46,1960-1969,1960-1969
3,Z:47,1970-1979,1970-1979
3,Z:48,1980-1989,1980-1989
3,Z:49,1990-1999,1990-1999
2,Z:50,21. Jh.,21st century
3,Z:51,2000-2009,2000-2009
3,Z:52,2010-2019,2010-2019
3,Z:53,2020-2029,2020-2029
