level,notation,prefLabel,scopeNote,note
0,A,GENERAL WORKS,,
1,AC1-999,Collections. Series. Collected works,,
2,AC1-195,"Collections of monographs, essays, etc.",,
3,AC1-8,American and English,,
3,AC9-195,Other languages,,
2,AC200,Collections for Jewish readers,,
2,AC801-895,Inaugural and program dissertations,,
2,AC901-995,Pamphlet collections,,
2,AC999,Scrapbooks,,
1,AE1-(90),Encyclopedias,,
2,AE5-(90),By language,,
1,AG2-600,Dictionaries and other general reference works,,
1,AI1-21,Indexes,,
1,AM1-(501),Museums. Collectors and collecting,,
2,AM10-100,By country,,
2,AM111-160,"Museology. Museum methods, technique, etc.",,
2,AM200-(501),Collectors and collecting,,
1,AN,Newspapers,,
1,AP1-(271),Periodicals,,
2,AP101-115,Humorous periodicals,,
2,AP200-230,Juvenile periodicals,,
2,AP(250)-(265),Periodicals for women,,
2,AP(270)-(271),Periodicals for Blacks,,
1,AS1-945,Academies and learned societies,,
2,AS2.5-4,"International associations, congresses, conferences, etc.",,
2,AS11-785,By region or country,,
1,AY10-2001,Yearbooks. Almanacs. Directories,,
2,AY10-29,Annuals,,
2,AY30-1730,Almanacs,,
2,AY2001,Directories,,Class directories by subject in B-Z
1,AZ(20)-999,History of scholarship and learning. The humanities,,
2,AZ101-(181),Philosophy. Theory,,
2,AZ191-193,Evaluation,,
2,AZ200-361,History,,
2,AZ501-908,By region or country,,
0,B,PHILOSOPHY. PSYCHOLOGY. RELIGION,,
1,B1-5802,Philosophy (General),,
2,B69-99,General works,,
2,B108-5802,By period,Including individual philosophers and schools of philosophy,
3,B108-708,Ancient,,
3,B720-765,Medieval,,
3,B770-785,Renaissance,,
3,B790-5802,Modern,,
4,B808-849,Special topics and schools of philosophy,,
4,B850-5739,By region or country,,
4,B5800-5802,By religion,,
1,BC1-199,Logic,,
2,BC11-39,History,,
3,BC25-39,By period,,
2,BC60-99,General works,,
2,BC171-199,Special topics,,
1,BD10-701,Speculative philosophy,,
2,BD10-41,General philosophical works,,
2,BD95-131,Metaphysics,,
2,BD143-237,Epistemology. Theory of knowledge,,
2,BD240-260,Methodology,,
2,BD300-450,Ontology,"Including being, the soul, life, death",
2,BD493-701,Cosmology,"Including teleology, space and time, structure of matter, plurality of worlds",
1,BF1-990,Psychology,,
2,BF38-64,Philosophy. Relation to other topics,,
2,BF173-175.5,Psychoanalysis,,
2,BF176-176.5,Psychological tests and testing,,
2,BF180-198.7,Experimental psychology,,
2,BF203,Gestalt psychology,,
2,BF207-209,Psychotropic drugs and other substances,,
2,BF231-299,Sensation. Aesthesiology,,
2,BF309-499,Consciousness. Cognition,"Including learning, attention, comprehension, memory, imagination, genius, intelligence, thought and thinking, psycholinguistics, mental fatigue",
2,BF501-505,Motivation,,
2,BF511-593,Affection. Feeling. Emotion,,
2,BF608-635,Will. Volition. Choice. Control,,
2,BF636-637,Applied psychology,,
2,BF638-648,"New Thought. Menticulture, etc.",,
2,BF660-685,Comparative psychology. Animal and human psychology,,
2,BF692-692.5,Psychology of sex. Sexual behavior,,
2,BF697-697.5,Differential psychology. Individuality. Self,,
2,BF698-698.9,Personality,,
2,BF699-711,Genetic psychology,,
2,BF712-724.85,Developmental psychology,"Including infant psychology, child psychology, adolescence, adulthood",
2,BF725-727,Class psychology,,
2,BF795-839,Temperament. Character,,
2,BF839.8-885,Physiognomy. Phrenology,,
2,BF889-905,Graphology. Study of handwriting,,
2,BF908-940,The hand. Palmistry,,
1,BF1001-1389,Parapsychology,,
2,BF1001-1045,Psychic research. Psychology of the conscious,,
2,BF1048-1108,Hallucinations. Sleep. Dreaming. Visions,,
2,BF1111-1156,Hypnotism. Suggestion. Mesmerism. Subliminal projection,,
2,BF1161-1171,Telepathy. Mind reading. Thought transference,,
2,BF1228-1389,Spiritualism,"Including mediumship, spirit messages, clairvoyance",
1,BF1404-2055,Occult sciences,,
2,BF1444-1486,Ghosts. Apparitions. Hauntings,,
2,BF1501-1562,Demonology. Satanism. Possession,,
2,BF1562.5-1584,Witchcraft,,
2,BF1585-1623,Magic. Hermetics. Necromancy,,
2,BF1651-1729,Astrology,,
2,BF1745-1779,Oracles. Sibyls. Divinations,,
2,BF1783-1815,Seers. Prophets. Prophecies,,
2,BF1845-1891,Fortune-telling,,
2,BF2050-2055,Human-alien encounters. Contact between humans and extraterrestrials,,
1,BH1-301,Aesthetics,,
2,BH81-208,History,,
2,BH301,Special topics,,
1,BJ1-1725,Ethics,,
2,BJ71-1185,History and general works,Including individual ethical philosophers,
2,BJ1188-1295,Religious ethics,,
2,BJ1298-1335,Evolutionary and genetic ethics,,
2,BJ1365-1385,Positivist ethics,,
2,BJ1388,Socialist ethics,,
2,BJ1390-1390.5,Communist ethics,,
2,BJ1392,Totalitarian ethics,,
2,BJ1395,Feminist ethics,,
2,BJ1518-1697,Individual ethics. Character. Virtue,"Including practical and applied ethics, conduct of life, vices, success, ethics for children",
2,BJ1725,"Ethics of social groups, classes, etc. Professional ethics",,
1,BJ1801-2195,Social usages. Etiquette,,
2,BJ2021-2078,Etiquette of entertaining,,
2,BJ2139-2156,Etiquette of travel,,
2,BJ2195,Telephone etiquette,,
1,BL1-2790,Religions. Mythology. Rationalism,,
2,BL1-50,Religion (General),,
2,BL51-65,Philosophy of religion. Psychology of religion. Religion in relation to other subjects,,
2,BL70-71,Sacred books (General),,
2,BL71.5-73,Biography,,
2,BL74-99,Religions of the world,,
2,BL175-265,Natural theology,,
3,BL175-190,General,,
3,BL200,Theism,,
3,BL205-216,Nature and attributes of Deity,,
3,BL217,Polytheism,,
3,BL218,Dualism,,
3,BL220,Pantheism,,
3,BL221,Monotheism,,
3,BL224-227,Creation. Theory of the earth,,
3,BL239-265,Religion and science,,
2,BL270,Unity and plurality,,
2,BL290,The soul,,
2,BL300-325,The myth. Comparative mythology,,
2,BL350-385,Classification of religions,,
2,BL410,Religions in relation to one another,,
2,BL425-490,Religious doctrines (General),,
3,BL430,Origins of religion,,
3,BL435-457,Nature worship,,
3,BL458,Women in comparative religion,,
3,BL460,Sex worship. Phallicism,,
3,BL465-470,Worship of human beings,,
3,BL473-490,Other,,
2,BL500-547,Eschatology,,
2,BL550-619,Worship. Cultus,,
2,BL624-629.5,Religious life,,
2,BL630-(632.5),Religious organization,,
2,BL660-2680,History and principles of religions,,
3,BL660,Indo-European. Aryan,,
3,BL685,Ural-Altaic,,
3,BL687,Mediterranean region,,
3,BL689-980,European. Occidental,,
4,BL700-820,"Classical (Etruscan, Greek, Roman)",,
4,BL830-875,Germanic and Norse,,
4,BL900-980,Other European,,
3,BL1000-2370,Asian. Oriental,,
4,BL1000-1035,General,,
4,BL1050,Northern and Central Asia,,
4,BL1055,Southern and Eastern Asia,,
4,BL1060,Southwestern Asia. Asia Minor. Levant,,
4,BL1100-1295,Hinduism,,
5,BL1100-1107.5,General,,
5,BL1108.2-1108.7,Religious education,,
5,BL1109.2-1109.7,Antiquities. Archaeology. Inscriptions,,
5,BL1111-1143.2,Sacred books. Sources,,
6,BL1112.2-1137.5,Vedic texts,,
6,BL1140.2-1140.4,Pur~nas,,
6,BL1141.2-1142.6,Tantric texts,,
5,BL1145-1146,Hindu literature,,
5,BL1153.7-1168,By region or country,,
5,BL1212.32-1215,Doctrines. Theology,,
5,BL1216-1225,Hindu pantheon. Deities,,
5,BL1225.2-1243.58,Religious life,,
5,BL1243.72-1243.78,"Monasteries. Temples, etc.",,
5,BL1271.2-1295,Modifications. Sects,,
6,BL1284.5-1289.592,Vaishnavism,,
4,BL1300-1380,Jainism,,
5,BL1310-1314.2,Sacred books. Sources,,
5,BL1315-1317,Jain literature,,
5,BL1375.3-1375.7,Jaina pantheon. Deities,,
5,BL1376-1378.85,Forms of worship,,
5,BL1379-1380,"Modifications, etc.",,
4,BL1500-1590,Zoroastrianism (Mazdeism). Parseeism,,
4,BL1595,Yezidis,,
4,BL1600-1695,Semitic religions,,
5,BL1600-1605,General,,
5,BL1610,Aramean,,
5,BL1615-1616,Sumerian,,
5,BL1620-1625,Assyro-Babylonian,,
5,BL1630,Chaldean,,
5,BL1635,Harranian. Pseudo-Sabian,,
5,BL1640-1645,Syrian. Palestinian. Samaritan,,
5,BL1650,Hebrew,,"For Judaism, see subclass BM"
5,BL1660-1665,"Phoenician. Carthaginian, etc.",,
5,BL1670-1672,Canaanite,,
5,BL1675,Moabite. Philistine,,
5,BL1680-1685,Arabian (except Islam),,
5,BL1695,Druses,,
4,BL1710,Ethiopian,,
4,BL1750-2350,By region or country,,
5,BL1790-1975,China,,
6,BL1830-1883,Confucianism,,
6,BL1899-1942.85,Taoism,,
5,BL2000-2032,India,,
6,BL2017-2018.7,Sikhism,,
5,BL2195-2228,Japan,,
6,BL2216-2227.8,Shinto,,
5,BL2230-2240,Korea,,
3,BL2390-2490,African,,
4,BL2420-2460,Egyptian,,
3,BL2500-2592,American,,"For American Indians, see classes E-F"
3,BL2600-2630,Pacific Ocean islands. Oceania,,
3,BL2670,Arctic regions,,
2,BL2700-2790,Rationalism,,
1,BM1-990,Judaism,,
2,BM1-449,General,,
3,BM70-135,Study and teaching,,
3,BM150-449,History,,
4,BM201-449,By region or country,,
2,BM480-488.8,Pre-Talmudic Jewish literature (non-Biblical),,
2,BM495-532,Sources of Jewish religion. Rabbinical literature,,
3,BM497-509,Talmudic literature,,
4,BM497-497.8,Mishnah,,
4,BM498-498.8,Palestinian Talmud,,
4,BM499-504.7,Babylonian Talmud,,
4,BM507-507.5,Baraita,,
4,BM508-508.5,Tosefta,,
3,BM510-518,Midrash,,
3,BM520-523.7,Halacha,,
3,BM525-526,Cabala,,
3,BM529,Jewish tradition,,
2,BM534-538,Relation of Judaism to special subject fields,,
3,BM534-536,Religions,,
2,BM545-582,Principles of Judaism (General),,
2,BM585-585.4,Controversial works against the Jews,,
2,BM590-591,Jewish works against Christianity and Islam,,
2,BM600-645,Dogmatic Judaism,,
2,BM646,"Heresy, heresies",,
2,BM648,Apologetics,,
2,BM650-747,Practical Judaism,,
3,BM651-652.7,"Priests, rabbis, etc.",,
3,BM653-653.7,Congregations. Synagogues,,
3,BM654-655.6,The tabernacle. The temple,,
3,BM656-657,Forms of worship,,
3,BM660-679,Liturgy and ritual,,
3,BM690-695,Festivals and fasts,,
3,BM700-720,Rites and customs,,
3,BM723-729,Jewish way of life. Spiritual life. Mysticism. Personal religion. Moral theology,,
3,BM730-747,Preaching. Homiletics,,
2,BM750-755,Biography,,
2,BM900-990,Samaritans,,
1,BP1-610,"Islam. Bahai Faith. Theosophy, etc.",,
2,BP1-253,Islam,,
3,BP1-68,General,,
4,BP42-48,Study and teaching,,
4,BP50-68,History,,
3,BP70-80,Biography,,
4,BP75-77.75,"Muhammad, Prophet, d. 632",,
3,BP87-89,Islamic literature,,
3,BP100-(157),Sacred books,,
4,BP100-134,Koran,,
5,BP128.15-129.83,Special parts and chapters,,
5,BP130-134,Works about the Koran,,
4,BP135-136.9,Hadith literature. Traditions. Sunna,,
4,BP137-137.5,Koranic and other Islamic legends,,
3,BP160-165,General works on Islam,,
3,BP165.5,Dogma (>Aq~=id),,
3,BP166-166.94,Theology (Kal~m),,
3,BP167.5,"Heresy, heresies, heretics",,
3,BP168,Apostasy from Islam,,
3,BP169,Works against Islam and the Koran,,
3,BP170,Works in defense of Islam. Islamic apologetics,,
3,BP170.2,"Benevolent work. Social work. Welfare work, etc.",,
3,BP170.3-170.5,Missionary work of Islam,,
3,BP171-173,Relation of Islam to other religions,,
3,BP173.25-173.45,Islamic sociology,,
3,BP174-190,The practice of Islam,,
4,BP176-181,The five duties of a Moslem. Pillars of Islam,,
4,BP182,Jihad (Holy War),,
4,BP184-184.9,"Religious ceremonies, rites, etc.",,
4,BP186-186.97,"Special days and seasons, fasts, feasts, festivals, etc. Relics",,
4,BP187-187.9,"Shrines, sacred places, etc.",,
4,BP188-190,Islamic religious life,,
5,BP188.2-188.3,Devotional literature,,
5,BP188.45-189.65,Sufism. Mysticism. Dervishes,,
5,BP189.68-189.7,Monasticism,,
3,BP191-253,"Branches, sects, etc.",,
4,BP192-194.9,Shiites,,
4,BP221-223,Black Muslims,,
4,BP232,Moorish Science Temple of America,,
4,BP251-253,Nurculuk,,
2,BP300-395,Bahai Faith,,
2,BP500-585,Theosophy,,
2,BP595-597,Anthroposophy,,
2,BP600-610,Other beliefs and movements,,
1,BQ1-9800,Buddhism,,
2,BQ1-10,Periodicals. Yearbooks (General),,
2,BQ12-93,"Societies, councils, associations, clubs, etc.",,
2,BQ96-99,Financial institutions. Trusts,,
2,BQ100-102,Congresses. Conferences (General),,
2,BQ104-105,Directories (General),,
2,BQ107-109,Museums. Exhibitions,,
2,BQ115-126,General collections. Collected works,,
2,BQ128,Encyclopedias (General),,
2,BQ130,Dictionaries (General),,
2,BQ133,Terminology,,
2,BQ135,Questions and answers. Maxims (General),,
2,BQ141-209,Religious education (General),,
2,BQ210-219,Research,,
2,BQ221-249,Antiquities. Archaeology,,
3,BQ240-244,Literary discoveries,,
3,BQ246-249,"Inscriptions, etc.",,
2,BQ251-799,History,,
2,BQ800-829,Persecutions,,
2,BQ840-999,Biography,,
3,BQ840-858,Collective,,
3,BQ860-999,Individual,,
4,BQ860-939,Gautama Buddha,,
4,BQ940-999,Other,,
2,BQ1001-1045,Buddhist literature,,
2,BQ1100-3340,Tripitaka (Canonical literature),,
2,BQ4000-4060,General works,,
2,BQ4061-4570,Doctrinal and systematic Buddhism,,
3,BQ4180-4565,Special doctrines,,
3,BQ4570,Special topics and relations to special subjects,,
2,BQ4600-4610,Relation to other religious and philosophical systems,,
2,BQ4620-4905,Buddhist pantheon,,
2,BQ4911-5720,Practice of Buddhism. Forms of worship,,
3,BQ4965-5030,Ceremonies and rites. Ceremonial rules,,
3,BQ5035-5065,Hymns. Chants. Recitations,,
3,BQ5070-5075,"Altar, liturgical objects, ornaments, memorials, etc.",,
3,BQ5080-5085,"Vestments, altar cloths, etc.",,
3,BQ5090-5095,Liturgical functions,,
3,BQ5100-5125,Symbols and symbolism,,
3,BQ5130-5137,Temple. Temple organization,,
3,BQ5140-5355,Buddhist ministry. Priesthood. Organization,,
4,BQ5251-5305,Education and training,,
4,BQ5310-5350,Preaching,,
3,BQ5360-5680,Religious life,,
4,BQ5485-5530,Precepts for laymen,,
4,BQ5535-5594,Devotional literature. Meditations. Prayers,,
4,BQ5595-5633,Devotion. Meditation. Prayer,,
4,BQ5635-5675,Spiritual life. Mysticism. Englightenment. Perfection,,
3,BQ5700-5720,Festivals. Days and seasons,,
3,BQ5725-5845,Folklore,,
4,BQ5821-5845,Miracle literature,,
3,BQ5851-5899,"Benevolent work. Social work. Welfare work, etc.",,
3,BQ5901-5975,Missionary work,,
3,BQ6001-6160,Monasticism and monastic life Samgha (Order),,
3,BQ6200-6240,Asceticism. Hermits. Wayfaring life,,
3,BQ6300-6388,Monasteries. Temples. Shrines. Sites,,
3,BQ6400-6495,Pilgrims and pilgrimages,,
3,BQ7001-9800,"Modifications, schools, etc.",,
4,BQ7100-7285,Therav~da (Hinayana) Buddhism,,
4,BQ7300-7529,Mahayana Buddhism,,
4,BQ7530-7950,Tibetan Buddhism (Lamaism),,
4,BQ7960-7989,Bonpo (Sect),,
4,BQ8000-9800,"Special modifications, sects, etc.",,
5,BQ8500-8769,Pure Land Buddhism,,
5,BQ8900-9099,Tantric Buddhism,,
5,BQ9250-9519,Zen Buddhism,,
1,BR1-1725,Christianity,,
2,BR60-67,"Early Christian literature. Fathers of the Church, etc.",,
2,BR115,Christianity in relation to special subjects,,
2,BR130-133.5,Christian antiquities. Archaeology. Museums,,
2,BR140-1510,History,,
3,BR160-481,By period,,
4,BR160-275,Early and medieval,,
4,BR280,Renaissance. Renaissance and Reformation,,
4,BR290-481,Modern period,,
5,BR323.5-334.2,"Luther, Martin",,
3,BR500-1510,By region or country,,
2,BR1600-1609,Persecution. Martyrs,,
2,BR1609.5,Dissent,,
2,BR1610,Tolerance and toleration,,
2,BR1615-1617,Liberalism,,
2,BR1620,Sacrilege (History),,
2,BR1690-1725,Biography,,
1,BS1-2970,The Bible,,
2,BS11-115,Early versions,,
2,BS125-355,Modern texts and versions,,
3,BS125-198,English,,
3,BS199-313,Other European languages,,
3,BS315-355,Non-European languages,,
4,BS315,Asian languages,,
4,BS325,African languages,,
4,BS335,Languages of Oceania and Australasia,,
4,BS345,American Indian languages,,
4,BS350,Mixed languages,,
4,BS355,Artificial languages,,
2,BS410-680,Works about the Bible,,
3,BS500-534.8,Criticism and interpretation,,
3,BS535-537,The Bible as literature,,
3,BS546-558,Bible stories. Paraphrases of Bible stories. The Bible story,,
3,BS569-580,"Men, women, and children of the Bible",,
4,BS580,Individual Old Testament characters,,
3,BS585-613,Study and teaching,,
3,BS647-649,Prophecy,,
3,BS650-667,Bible and science,,
3,BS670-672,Bible and social sciences,,
2,BS701-1830,Old Testament,,
3,BS705-815,Early versions,,
3,BS825-1013,Modern texts and versions,,
3,BS1091-1099,Selections. Quotations,,
3,BS1110-1199,Works about the Old Testament,,
4,BS1160-1191.5,Criticism and interpretation,,
3,BS1200-1830,Special parts of the Old Testament,,
2,BS1901-2970,New Testament,,
3,BS1937-2020,Early texts and versions,,
3,BS2025-2213,Modern texts and versions,,
3,BS2260-2269,Selections. Quotations,,
3,BS2280-2545,Works about the New Testament,,
4,BS2350-2393,Criticism and interpretation,,
4,BS2415-2417,The teachings of Jesus,,
4,BS2430-2520,"Men, women, and children of the New Testament",,
4,BS2525-2544,Study and teaching,,
3,BS2547-2970,Special parts of the New Testament,,
4,BS2640-2765.6,Epistles of Paul,,
1,BT10-1480,Doctrinal Theology,,
2,BT19-37,Doctrine and dogma,,
2,BT93-93.6,Judaism,,
2,BT95-97.2,Divine law. Moral government,,
2,BT98-180,God,,
3,BT109-115,Doctrine of the Trinity,,
3,BT117-123,Holy Spirit. The Paraclete,,
3,BT126-127.5,Revelation,,
3,BT130-153,Divine attributes,,
2,BT198-590,Christology,,
3,BT296-500,Life of Christ,,
3,BT580,"Miracles. Apparitions. Shrines, sanctuaries, images, processions, etc.",,
3,BT587,Relics,,
2,BT595-680,"Mary, Mother of Jesus Christ. Mariology",,
3,BT650-660,"Miracles. Apparitions. Shrines, sanctuaries, images, processions, etc.",,
2,BT695-749,Creation,,
2,BT750-811,Salvation. Soteriology,,
2,BT819-891,Eschatology. Last things,,
2,BT899-940,Future state. Future life,,
2,BT960-985,"Invisible world (saints, demons, etc.)",,
2,BT990-1010,"Creeds, confessions, covenants, etc.",,
2,BT1029-1040,Catechisms,,
2,BT1095-1255,Apologetics. Evidences of Christianity,,
2,BT1313-1480,History of specific doctrines and movements. Heresies and schisms,,
1,BV1-5099,Practical Theology,,
2,BV5-530,Worship (Public and private),,
3,BV30-135,Times and seasons. The Church year,,
4,BV43-64,Feast days,,
4,BV65-70,Saints= days,,
4,BV80-105,Fasts,,
4,BV107-133,Lord=s Day. Sunday. Sabbath,,
3,BV150-168,Christian symbols and symbolism,,
3,BV169-199,Liturgy and ritual,,
3,BV200,Family worship,,
3,BV205-287,Prayer,,
3,BV301-530,Hymnology,,
4,BV360-465,Denominational and special types of hymnbooks in English,,
4,BV467-510,Hymns in languages other than English,,
2,BV590-1652,Ecclesiastical theology,,
3,BV598-603,The Church,,
3,BV629-631,Church and state,,
3,BV637-637.5,City churches,,
3,BV638-638.8,The rural church. The church and country life,,
3,BV646-651,Church polity,,
3,BV652-652.9,Church management. Efficiency,,
3,BV652.95-657,Mass media and telecommunication in religion,,
3,BV659-683,Ministry. Clergy. Religious vocations,,
3,BV700-707,Parish. Congregation. The local church,,
3,BV770-777,Church finance. Church property,,
3,BV800-873,Sacraments. Ordinances,,
4,BV803-814,Baptism,,
4,BV823-828,Holy Communion. Lord=s Supper. Eucharist,,
4,BV835-838,Marriage,,
4,BV840-850,Penance,,
3,BV895-896,Shrines. Holy places,,
3,BV900-1450,"Religious societies, associations, etc.",,
4,BV950-1280,"Religious societies of men, brotherhoods, etc.",,
5,BV1000-1220,Young Men=s Christian Associations,,
4,BV1300-1395,Religious societies of women,,
5,BV1300-1393,Young Women=s Christian Associations,,
3,BV1460-1615,Religious education (General),,
3,BV1620-1652,"Social life, recreation, etc., in the church",,
2,BV2000-3705,Missions,,
3,BV2123-2595,Special churches,,
4,BV2130-2300,Roman Catholic Church,,
4,BV2350-2595,Protestant churches,,
3,BV2610-2695,Special types of missions,,
3,BV2750-3695,Missions in individual countries,,
2,BV3750-3799,Evangelism. Revivals,,
2,BV4000-4470,Pastoral theology,,
3,BV4019-4180,Education,,
4,BV4019-4167,Training for the ordained ministry,,
4,BV4168-4180,Training for lay workers,,
3,BV4200-4317,Preaching. Homiletics,,
4,BV4239-4317,Sermons,,
3,BV4390-4399,Personal life of the clergy,,
3,BV4400-4470,Practical church work. Social work. Work of the layman,,
2,BV4485-5099,Practical religion. The Christian life,,
3,BV4520-4526.2,Religious duties,,
3,BV4625-4780,Moral theology,,
4,BV4625-4627,Sins and vices,,
4,BV4630-4647,Virtues,,
4,BV4650-4715,Precepts from the Bible,,
4,BV4720-4780,Precepts of the Church. Commandments of the Church,,
3,BV4800-4897,Works of meditation and devotion,,
3,BV4900-4911,Works of consolation and cheer,,
3,BV4912-4950,Conversion literature,,
3,BV5015-5068,Asceticism,,
3,BV5070-5095,Mysticism,,
3,BV5099,Quietism,,
1,BX1-9999,Christian Denominations,,
2,BX1-9.5,Church unity. Ecumenical movement. Interdenominational cooperation,,
2,BX100-189,Eastern churches. Oriental churches,,
3,BX100-107,General,,
3,BX120-129,Armenian Church,,
3,BX130-139,Coptic Church,,
3,BX140-149,Ethiopic or Abyssinian Church,,
3,BX150-159,"Nestorian, Chaldean, or East Syrian Church",,
3,BX160-169,St. Thomas Christians. Malabar Christians. Mar Thoma Syrian Church,,
3,BX170-179,Syrian or Jacobite Church,,
3,BX180-189,Maronite Church,,
2,BX200-756,Orthodox Eastern Church,,
3,BX200-395,General,,
3,BX400-756,Divisions of the church,,
4,BX400-440,Patriarchates of the East. Melchites,,
4,BX450-450.93,Church of Cyprus,,
4,BX460-605,Russian Church,,
4,BX610-620,Church of Greece,,
4,BX630-639,Orthodox Church in Austria and Hungary,,
4,BX650-659,Bulgarian Church,,
4,BX660-669,Georgian Church,,
4,BX670-679,Montenegrin Church,,
4,BX690-699,Romanian Church,,
4,BX710-719,Serbian Church. Yugoslav Church,,
4,BX720-729,"Orthodox Eastern Church, Macedonian",,
4,BX729.5,"Orthodox Eastern Church, Ukrainian",,
4,BX729.9-755,Orthodox Church in other regions or countries,,
2,BX800-4795,Catholic Church,,
3,BX800-839,"Periodicals. Societies, councils, congresses, etc.",,
3,BX840,Museums. Exhibitions,,
3,BX841,Dictionaries. Encyclopedias,,
3,BX845,Directories. Yearbooks,,
3,BX847,Atlases,,
3,BX850-875,Documents,,
3,BX880-891,General collected works,,
3,BX895-939,Study and teaching,,
3,BX940-1745,History,Including lives of popes,
3,BX1746-1755,Theology. Doctrine. Dogmatics,,
3,BX1756,Sermons,,
3,BX1760-1779.5,Controversial works,,
3,BX1781-1788,Catholic Church and other churches,,
3,BX1790-1793,Catholic Church and the state,,
3,BX1800-1920,Government and organization,,
3,BX1958-1968,Creeds and catechisms,,
3,BX1969,Forms of worship. Catholic practice,,
3,BX1970-2175,Liturgy and ritual,,
4,BX2050-2175,Prayers and devotions,,
3,BX2177-2198,"Meditations. Devotional readings. Spiritual exercises, etc.",,
3,BX2200-2292,Sacraments,,
3,BX2295-2310,Sacramentals,,
3,BX2312,Images,,
3,BX2315-2324,Relics. Shrines. Pilgrimages. Processions,,
3,BX2325-2333,Saints. Hagiology,,
3,BX2347-2377,Practical religion. Christian life,,
3,BX2380-2386,Religious life. Religious state,,
3,BX2400-4563,Monasticism. Religious orders,,
4,BX2890-4192,Religious orders of men,,
4,BX4200-4563,Religious orders of women,,
3,BX4600-4644,"Churches, cathedrals, abbeys (as parish churches), etc.",,
3,BX4650-4705,Biography and portraits,,
4,BX4650-4698,Collective,,
5,BX4654-4662,Saints and martyrs,,
4,BX4700-4705,Individual,,
5,BX4700,Saints,,
3,BX4710.1-4715.95,Eastern churches in communion with Rome. Catholics of the Oriental rites. Uniats,,
3,BX4716.4-4795,Dissenting sects other than Protestant,,
4,BX4718.5-4735,Jansenists,,
4,BX4737,French schisms of the 19th century,,
4,BX4740,German Catholics,,
4,BX4751-4793,Old Catholics,,
4,BX4793.5-4794.25,Independent Catholic Churches,,
4,BX4795,Other,,
2,BX4800-9999,Protestantism,,
3,BX4800-4861,General,,
3,BX4872-4924,Pre-Reformation,,
4,BX4872-4893,Waldenses and Albigenses,,
4,BX4900-4906,Lollards. Wycliffites,,
4,BX4913-4924,Hussites,,
5,BX4920-4924,Bohemian Brethren,,
3,BX4929-4951,Post-Reformation,,
4,BX4929-4946,Anabaptists,,
4,BX4950-4951,Plain People,,
3,BX5001-5009,Anglican Communion (General),,
3,BX5011-5207,Church of England,,
4,BX5011-5050,General,,
4,BX5051-5110,History. Local divisions,,
4,BX5115-5126,Special parties and movements,,
4,BX5127-5129.8,Church of England and other churches,,
4,BX5130-5132,General,,
4,BX5133,Sermons. Tracts. Addresses. Essays,,
4,BX5135-5136,Controversial works,,
4,BX5137-5139,"Creeds and catechisms, etc.",,
4,BX5140.5-5147,Liturgy and ritual,,
4,BX5148-5149,Sacraments,,
4,BX5150-5182.5,Government. Organization. Discipline,,
4,BX5183-5187,Religious communities. Conventual life. Religious societies,,
4,BX5194-5195,"Cathedrals, churches, etc. in England and Wales",,
4,BX5197-5199,Biography,,
4,BX5200-5207,Dissent and nonconformity,,
4,BX5210-5395,Episcopal Church in Scotland,,
4,BX5410-5595,Church of Ireland,,
4,BX5596-5598,Church in Wales,,
4,BX5600-5740,Church of England outside of Great Britain,,
5,BX5601-5620,Anglican Church of Canada,,
3,BX5800-5995,Protestant Episcopal Church in the United States of America,,
3,BX5996-6030,Protestant Episcopal Church outside the United States,,
3,BX6051-6093,Reformed Episcopal Church,,
3,BX6101-9999,Other Protestant denominations,"Alphabetical; only larger denominations listed The subarrangement is essentially the same for each sect, the primary features being indicated by way of example under Baptists",
4,BX6101-6193,Adventists. AMillerites@,,
4,BX6195-6197,Arminians. Remonstrants,,
4,BX6201-6495,Baptists,,
5,BX6201-6227,General,,
5,BX6231-6328,History. Local divisions,,
5,BX6329,Baptists and other churches,,
5,BX6330-6331.2,Doctrine,,
5,BX6333,Sermons. Tracts,,
5,BX6334,Controversial works,,
5,BX6335-6336,Creeds. Catechisms,,
5,BX6337,Service. Ritual. Liturgy,,
5,BX6338-6339,Sacraments,,
5,BX6340-6346.3,Government. Discipline,,
5,BX6349-6470,Individual branches,,
5,BX6480-6490,Individual Baptist churches,,
5,BX6493-6495,Biography,,
4,BX6551-6593,Catholic Apostolic Church. Irvingites,,
4,BX6651-6693,Christadelphians. Brothers of Christ,,
4,BX6751-6793,Christian Church,,See also Disciples of Christ
4,BX6801-6843,Christian Reformed Church,,
4,BX6901-6997,Christian Science,,
4,BX7003,Christian Union,,
4,BX7020-7060,Church of God,,
4,BX7079-7097,Churches of God,,
4,BX7101-7260,Congregationalism,,
4,BX7301-7343,Disciples of Christ. Campbellites,,
4,BX7401-7430,Dowieism. Christian Catholic Church,,
4,BX7451-7493,Evangelical and Reformed Church,,
4,BX7556,Evangelical United Brethren Church,,
4,BX7580-7583,Free Congregations (Germany). Freie Gemeinden,,
4,BX7601-7795,Friends. Society of Friends. Quakers,,
4,BX7801-7843,German Baptist Brethren. Church of the Brethren. Dunkards,,
4,BX7850-7865,German Evangelical Protestant Church of North America. Evangelical Protestant Church of North America,,
4,BX7901-7943,German Evangelical Synod of North America,,
4,BX7990.H6-.H69,Holiness churches,,
4,BX8001-8080,Lutheran churches,,
4,BX8101-8144,Mennonites,,
