level,notation,prefLabel
2,1134 i,Illustration
2,1135,Imprimerie
1,1150-1159,"Édition, Éditeurs et Libraires"
2,1150,Généralités
2,1152,Censure
2,1153,Collection
3,1153 q,Albums de la Pléiade (Collection)
3,1153 b,Bouquins (Collection)
3,1153 e,Écrivains de toujours (Collection)
3,1153 p,"Pléiade, Bibliothèque de la"
2,1155,Éditeurs et Libraires
1,1170-1179,Critique et méthodes
2,1170,Géneralités
2,1171,Philologie
2,1172,Histoire littéraire
2,1173,Périodisation
2,1174,Terminologie et théorie littéraire
2,1175 b,Réception de la littérature
2,1175 d,Société et littérature
2,1175 k,Usage de la littérature
2,1176 b,Bibliothérapie
2,1176 e,Esthétique
2,1177,Interprétation et analyse des textes
2,1178,Informatique
2,1179,Groupe et Revue «Tel Quel
1,1190,"Théorie du texte, Textologie"
2,1191-1198,Aspects divers 
3,1191 b,Chapitre
3,1191 c,Citation
3,1191 d,Discontinuité
3,1191 f,Formule
3,1191 r,Référence
3,1191 p,Épigraphe
3,1192 c,Commentaire
3,1192 d,Description
3,1192 f,Discours
3,1192 h,Hypertexte
3,1192 r,Répétition
3,1193,Intertextualité
3,1194 d,Dédicace
3,1194 m,Montage
3,1194 n,Note 
3,1194 p,Page
3,1194 r,Paratexte
3,1194 t,Prologue
3,1194 v,Péritexte
3,1194 x,Table des matières
3,1195 p,Préface
3,1195 t,Titre
3,1196 c,Couverture
3,1196 s,Série
3,1197 f,Fragment
3,1197 r,Recueil
3,1198 c,Cycle
3,1198 i,Illustration
1,1199,Nouvelles technologies
1,1200,Structuralisme - Poststructuralisme
1,1220,Poétique
1,1240,Sémiotique (et Sémiologie)
1,1245,Informatique
1,1260,Genres et formes
2,1266 ab,Anecdote
2,1266 an,Anthologie
2,1266 ap,Aphorisme
2,1266 be,Bestiaire
2,1266 cf,Café littéraire
2,1266 ci,Caricature
2,1266 cn,Carnet de voyage
2,1266 co,Collection
2,1266 cr,Confessions
2,1266 ct,Critique d'art
2,1266 dg,Dialogue
2,1266 dh,Dialogue saturnale
2,1266 dk,Dictionnaire
2,1266 dl,"Dictionnaire, Encyclopédie"
2,1266 de,Dédicace
2,1266 ek,Ekphrasis
2,1266 em,Emblème
2,1266 eo,Encyclopédie
2,1266 et,Entretien (littéraire)
2,1266 fb,Fable
2,1266 fc,Fable express
2,1266 fi,Fait divers
2,1266 fo,Formes brèves
2,1266 gu,Guide touristique
2,1266 hc,Haïku
2,1266 ho,Hommage
2,1266 ic,Iconotexte
2,1266 id,Idéogramme
2,1266 im,Impromptu
2,1266 lp,Littérature personnelle
2,1266 mb,Manuel
2,1266 md,Maxime
2,1266 mi ,Mimécriture
2,1266 mk,Miscellanée
2,1266 mo,Monologue
2,1266 mp,Monologue intérieur
2,1266 me,Méditation
2,1266 no,Noël
2,1266 pb,Pamphlet
2,1266 pd,Parodie
2,1266 pf,Pastiche
2,1266 ph,Pastorale
2,1266 po,Portrait
2,1266 pr,Proverbe
2,1266 rc,Recueil
2,1266 re,Récit poétique
2,1266 rh,Rêverie
2,1266 sc,Satire
2,1266 tb,Tableau
2,1266 te,Témoignage
2,1266 ut,Utopie
2,1266 el,Éloge
2,1266 ep,Énigme
2,1266 ew,Épopée
2,1266 ev,Épître
1,1280,Poésie
2,1281,Anthologies
2,1282,Histoire et critique
2,1283,Structures et images
2,1284,Enseignement de la poésie
2,1285,Traduction
2,1287,Les Formes poétiques
3,1288 b,Alexandrin
3,1288 f,Comptines
3,1288 k,Pastorale
3,1288 m,Poème en prose
3,1288 o,Poésie intime
3,1288 q,Satire
3,1288 r,Sextine
3,1288 s,Sonnet
3,1288 v,Vers libre
3,1288 x,Verset
3,1288 d,Épigramme
1,1300,Genres et formes de la prose
2,1301,"Théorie narrative, Narratologie"
2,1303,Genres spécifiques
3,1303 ah,Almanach
3,1303 al,Ana
3,1303 an,Anecdote
3,1303 ap,Aphorisme
3,1303 au,Autobiographie
3,1303 bi,Biographie
3,1303 ck,Conte
3,1303 cm,Conversation
3,1303 co,Correspondance
3,1303 di,Discours
3,1303 es,Essai
3,1303 ex,Exemplum
3,1303 fd,Fait divers
3,1303 fm,Formes brèves
3,1303 hg,Hagiographie
3,1303 hi,Histoire drôle
3,1303 hl,Histoire tragique
3,1303 hq,Histoires comiques
3,1303 hs,Historiographie
3,1303 ji,Journal intime
3,1303 lf,Lettre
3,1303 lg,Lettre d'amour
3,1303 lp,Littérature personnelle
3,1303 ld,Légende
3,1303 mb,Manifeste
3,1303 mc,Maxime
3,1303 mi,Miroir du prince
3,1303 mo,Moralistes
3,1303 me,Mémoires
3,1303 no,Nouvelle
3,1303 pb,Pamphlet
3,1303 ph,Pastiche
3,1303 pg,Pornographie
3,1303 po,Portrait
3,1303 pr,Prédication
3,1303 rp,Reportage
3,1303 rs,Robinsonsonnade
3,1303 rc,Récit
3,1303 rd,Récit bref
3,1303 re,Récit d'enfance
3,1303 rf,Récit de filiation
3,1303 rg,Récit de mort
3,1303 rh,Récit de rêve
3,1303 rk,Récit de vie
3,1303 ri,Récit poétique
3,1303 rl,Récits de voyage
3,1303 sb,Saga
3,1303 se,Sermon
3,1303 si,Série
3,1303 tb,Tableau de moeurs
3,1303 tr,Traité de savoir-vivre
3,1303 vo,Voyage littéraire
2,1305,Roman   
2,1306,Formes du roman
3,1306 ci,Ciné-roman
3,1306 da,Roman alchimique
3,1306 dd,Roman autobiographique
3,1306 ee,Roman biographique
3,1306 eh,Roman d'apprentissage
3,1306 em,Roman d'aventure 
3,1306 ff,"Roman d'éducation, Roman de formation, Bildungsroman"
3,1306 gg,Roman d'énigme
3,1306 hh,Roman de chevalerie
3,1306 ii,Roman domestique
3,1306 kk,Roman historique
3,1306 ll,Roman initiatique
3,1306 mm,Roman libertin
3,1306 nn,Roman mémoriel
3,1306 oo,Roman noir
3,1306 pp,Roman picaresque
3,1306 qq,Roman policier
3,1306 rr,Roman sentimental
3,1306 cp,Roman à la première personne
3,1306 ip,Roman épistolaire
3,1306 ss,Roman-photo
3,1306 tt,Téléroman
1,1310,Théâtre
2,1311-1317,"Genres spécifiques, Aspects divers, Compagnies de théâtre etc. "
3,1311,"Histoire, structure, critique"
3,1312,Comédie
3,1313 c,Tragi-comédie
3,1313 t,Tragédie
3,1314 c,Café-théâtre
3,1314 c,Confrérie de la Passion 
3,1314 d,Danse
3,1314 e,Entrée royale
3,1314 f,Farce
3,1314 h,Fête de cour
3,1314 i,Impromptu
3,1314 k,Monologue comique
3,1314 m,Mystère
3,1314 n,Mélodrame
3,1314 o,Opéra
3,1314 q,Théâtre Montansier
3,1315 c,Comédie-Française
3,1315 e,Odéon
3,1315 h,Opéra-Comique
3,1315 l,Théâtre de l'Odéon
3,1315 n,Théâtre des Nations
3,1315 p,Théâtre du Peuple (Bussang)
3,1315 s,Théâtre national de Strasbourg
3,1315 u,Théâtre populaire
3,1316 a,Festival d'Avignon
3,1316 t,Thèmes et structures
3,1317 i,Influences
1,1330,Cinéma
2,1331,Définitions et histoire
2,1332,Cinéma et littérature
2,1333,Gens du cinéma
1,1350,"Radio, Télévision, Vidéo, Médias"
1,1370,Sociologie de la littérature 
1,1390,Thèmes et motifs
2,1399,Motifs spécifiques
3,1399 afr,Afrique
3,1399 alg,Algérie
3,1399 alt,Altérité
3,1399 ami,Amitié
3,1399 amo,Amour
3,1399 ani,Animal
3,1399 ant,Anthropologie
3,1399 art,Art(s)
3,1399 bib,Bible
3,1399 com,Comique
3,1399 cor,Corps
3,1399 dan,Dandy(sme)
3,1399 don,Don Juan
3,1399 der,Dreyfus (Affaire)
3,1399 drg,Drogues
3,1399 dro,Droit
3,1399 eco,Écologie
3,1399 emb,Emblème
3,1399 ero,"Érotique, Érotisme"
3,1399 esp,Espace
3,1399 exo,Exotisme
3,1399 fan,Fantastique
3,1399 fem,Femme
3,1399 fen,Féminisme
3,1399 gas,Gastronomie
3,1399 gen,Genre (sexe)
3,1399 gue,Guerre
3,1399 geo,Géographie
3,1399 his,Histoire
3,1399 hos,Homosexualité
3,1399 hum,Humour
3,1399 ile,Ile
3,1399 ima,Image
3,1399 int,Intellectuel
3,1399 iro,Ironie
3,1399 jea,Jeanne d'Arc
3,1399 mer,Merlin
3,1399 mod,Modernité
3,1399 mor,Mort
3,1399 mus,Musique
3,1399 myt,Mythe(s)
3,1399 mec,"Médecin, Médecine"
3,1399 med,Méditerranée
3,1399 mel,Mélancolie
3,1399 mem,Mémoire
3,1399 ori,Orient
3,1399 par,"Paris, Ville de"
3,1399 pay,Paysage
3,1399 pei,Peinture
3,1399 phi,Philosophie
3,1399 pho,Photographie
3,1399 pol,Politique
3,1399 psy,Psychanalyse
3,1399 rel,Religion
3,1399 rir,Rire
3,1399 rev,Rêve
3,1399 tem,Temps
3,1399 uto,Utopie
3,1399 vil,Ville
3,1399 voy,Voyages
1,1400,Littérature enfantine et littérature de jeunesse
1,1420,Littérature régionale
1,1440,Littérature populaire
2,1444,Genres et aspects divers
3,1444 al,Almanach
3,1444 bl,Bibliothèque bleue
3,1444 ch,Chanson populaire
3,1444 cm,Comptine
3,1444 co,Conte
3,1444 cq,Conte de fées
3,1444 cs,Conte fantastique
3,1444 cu,Conte merveilleux
3,1444 cw,Conte populaire
3,1444 fb,Fable folklorique
3,1444 lc,Littérature de colportage
3,1444 pl,Paralittérature
3,1444 rp ,Roman Harlequin
3,1444 rd,Roman d'amour
3,1444 rf,Roman d'aventures
3,1444 rh,Roman d'espionnage
3,1444 rk,Roman d'horreur
3,1444 rm,Roman feuilleton
3,1444 rs,Roman populaire
3,1444 rt,Roman rose
3,1444 ru,Roman sentimental
3,1444 rw,Roman-feuilleton
3,1444 rv,Roman-photo
3,1444 rb,Récit fantastique
3,1444 we,Western
3,1444 ep,Épopée folklorique
1,1460,Science-fiction
1,1480,Bande dessinée
2,1488,Auteurs et dessinateurs
1,1500,Chansons
2,1505,"Chansonniers, chansonnières"
1,1520,Stylistique et rhétorique
2,1521,Définitions et méthodes
2,1522,Figures de style etc.
3,1522 al,Allusion
3,1522 ag,Allégorie
3,1522 cl,Cliché
3,1522 co,Comparaison
3,1522 dd,Discours direct/indirect
3,1522 di,Discours rapporté
3,1522 fr,Fragment
3,1522 mb,Manière
3,1522 mi,Mise en abyme
3,1522 me ,Métaphore
3,1522 pd,Paradoxe
3,1522 pg,Parodie
3,1522 pi,Pastiche
3,1522 po,Ponctuation
3,1522 ry,Rythme
3,1522 re,Répétition
3,1522 si,Style indirect libre
2,1524,Rhétorique
2,1525,Les Mots et les écrivains
1,1540,Traduction
2,1541,Problèmes et méthodes
2,1543,Antiquité 
2,1544,Langues et régions spécifiques
3,1544 ab,Afrikaans
3,1544 ad,Allemand
3,1544 af,Américain
3,1544 ag,Amérique latine
3,1544 ai,Anglais
3,1544 al,Anglais (Grande-Bretagne)
3,1544 an,Arabe
3,1544 ap,Argentine
3,1544 ar,Arménien
3,1544 au,Australie
3,1544 br,Breton
3,1544 ca,Catalan
3,1544 ch,Chinois
3,1544 co,Coréen
3,1544 cr,Croate
3,1544 es,Espagnol
3,1544 fi,Finnois
3,1544 gr,Grec ancien
3,1544 ho,Hongrois
3,1544 he,Hébreu
3,1544 in,Inde
3,1544 it,Italien
3,1544 ja,Japonais
3,1544 la,Langues anciennes
3,1544 lt,Latin
3,1544 mo,Moyen français
3,1544 me,Médiolatin
3,1544 no,Norvégien
3,1544 oc,Occitan
3,1544 pl,Polonais
3,1544 po,Portugais
3,1544 pp,Portugais (Brésil)
3,1544 ro,Roumain
3,1544 ru,Russe
3,1544 rv,Russe (Russie et Union soviétique)
3,1544 sc,Scandinave
3,1544 su,Suédois
3,1544 tc,Tchèque
3,1544 ti,Tibétain
3,1544 tu,Turc
3,1544 uk,Ukraine
3,1544 yi,Yiddish
3,1544 eg ,Égypte
2,1545,Traducteurs et Traductions d'oeuvres spécifiques
1,1560,Comparatisme
1,1580,Influences
2,1581,Époques
3,1581 a,Antiquité
3,1581 m,Moyen Âge
2,1582,Latin
2,1585,Régions
3,1585 ab,Afrique
3,1585 ad,Afrique de l'Ouest
3,1585 af,Algérie
3,1585 ah,Allemagne
3,1585 ai,Allemagne (RDA)
3,1585 ak,Alsace
3,1585 al,Amérique
3,1585 am,Amérique (États-Unis)
3,1585 an,Amérique centrale
3,1585 ao,Amérique latine
3,1585 aq,Angleterre
3,1585 ar,Arabie
3,1585 au,Argentine
3,1585 av,Asie
3,1585 aw,Australie
3,1585 ax,Autriche
3,1585 be,Belgique
3,1585 br,Brésil
3,1585 bu,Bulgarie
3,1585 ch,Chine
3,1585 cl,Colombie (Colombia)
3,1585 co,Corée
3,1585 cr,Costa Rica
3,1585 ep,Espagne
3,1585 es,Estonie
3,1585 eu ,Europe
3,1585 ev,Europe centrale
3,1585 fi,Finlande
3,1585 gr,Grèce
3,1585 ge,Géorgie
3,1585 ho,Hongrie
3,1585 in,Inde
3,1585 ik,Irak
