level,notation,prefLabel
3,206-02,Molekulare Biologie und Physiologie von Nerven- und Gliazellen
3,206-03,Experimentelle und theoretische Netzwerk-Neurowissenschaften
3,206-04,"Kognitive, systemische und Verhaltensneurobiologie"
3,206-05,Experimentelle Modelle zum Verständnis von Erkrankungen des Nervensystems
3,206-06,Molekulare und zelluläre Neurologie und Neuropathologie
3,206-07,Klinische Neurologie; Neurochirurgie und Neuroradiologie
3,206-08,Kognitive und systemische Humanneurowissenschaften
3,206-09,Biologische Psychiatrie
3,206-10,"Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie"
3,206-11,Augenheilkunde
1,23,"Agrar-, Forstwissenschaften und Tiermedizin"
2,207,"Agrar-, Forstwissenschaften und Tiermedizin"
3,207-01,Bodenwissenschaften
3,207-02,"Pflanzenzüchtung, Pflanzenpathologie"
3,207-03,"Pflanzenbau, Pflanzenernährung, Agrartechnik"
3,207-04,"Ökologie der Landnutzung"
3,207-05,"Agrarökonomie, Agrarpolitik, Agrarsoziologie"
3,207-06,Forstwissenschaften
3,207-07,"Tierzucht, Tierernährung, Tierhaltung"
3,207-08,Tiermedizin
0,3,Naturwissenschaften
1,31,Chemie
2,321,Molekülchemie
3,321-01,"Anorganische Molekülchemie - Synthese, Charakterisierung"
3,321-02,"Organische Molekülchemie- Synthese, Charakterisierung"
2,322,Chemische Festkörper- und Oberflächenforschung
3,322-01,"Festkörper- und Oberflächenchemie, Materialsynthese"
3,322-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung"
2,323,Physikalische Chemie
3,323-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie"
2,324,Analytische Chemie
3,324-01,Analytische Chemie
2,325,Biologische Chemie und Lebensmittelchemie
3,325-01,Biologische und Biomimetische Chemie
3,325-02,Lebensmittelchemie
2,326,Polymerforschung
3,326-01,Präparative und Physikalische Chemie von Polymeren
3,326-02,Experimentelle und Theoretische Polymerphysik
3,326-03,Polymermaterialien
2,327,Theoretische Chemie
3,327-01,"Theoretische Chemie: Elektronenstruktur, Dynamik, Simulation"
3,327-02,"Theoretische Chemie: Moleküle, Materialien, Oberflächen"
1,32,Physik
2,307,Physik der kondensierten Materie
3,307-01,Experimentelle Physik der kondensierten Materie
3,307-02,Theoretische Physik der kondensierten Materie
2,308,"Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen"
3,308-01,"Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
2,309,"Teilchen, Kerne und Felder"
3,309-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder"
2,310,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik"
3,310-01,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik"
2,311,Astrophysik und Astronomie
3,311-01,Astrophysik und Astronomie
1,33,Mathematik
2,312,Mathematik
3,312-01,Mathematik
1,34,Geowissenschaften
2,313,"Atmosphären-, Meeres- und Klimaforschung"
3,313-01,Physik und Chemie der Atmosphäre
3,313-02,"Physik, Chemie und Biologie des Meeres"
2,314,Geologie und Paläontologie
3,314-01,"Geologie, Ingenieurgeologie, Paläontologie"
2,315,Geophysik und Geodäsie
3,315-01,Physik des Erdkörpers
3,315-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie"
2,316,"Mineralogie, Petrologie und Geochemie"
3,316-01,"Mineralogie, Petrologie und Geochemie"
2,317,Geographie
3,317-01,Physische Geographie
3,317-02,Humangeographie
2,318,Wasserforschung
