level,notation,prefLabel@de,prefLabel@en
0,1,Geistes- und Sozialwissenschaften,Humanities and Social Sciences
1,11,Geisteswissenschaften,Humanities
2,111,Alte Kulturen,Ancient Cultures
3,111-01,Ur- und Frühgeschichte (weltweit),Prehistory and World Archaeology
3,111-02,Griechische und Lateinische Philologie,Greek and Latin Philology
3,111-03,Alte Geschichte,Ancient History
3,111-04,"Klassische, Provinzialrömische, Christliche und Islamische Archäologie","Classical, Roman, Christian and Islamic Archaeology"
3,111-05,Ägyptische und Vorderasiatische Altertumswissenschaften,Egyptology and Ancient Near Eastern Studies
2,112,Geschichtswissenschaften,History
3,112-01,Mittelalterliche Geschichte,Medieval History
3,112-02,Frühneuzeitliche Geschichte,Early Modern History
3,112-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte),Modern and Contemporary History
3,112-04,Wissenschaftsgeschichte,History of Science
2,113,"Kunst-, Musik-, Theater- und Medienwissenschaften","Art History, Music, Theatre and Media Studies"
3,113-01,Kunstgeschichte,Art History
3,113-02,Musikwissenschaften,Musicology
3,113-03,Theater- und Medienwissenschaften,Theatre and Media Studies
2,114,Sprachwissenschaften,Linguistics
3,114-01,"Allgemeine und Vergleichende Sprachwissenschaft, Experimentelle Linguistik, Typologie, Außereuropäische Sprachen","General and Comparative Linguistics, Experimental Linguistics, Typology, Non-European Languages"
3,114-02,"Einzelsprachenwissenschaften, Historische Linguistik","Individual Linguistics, Historical Linguistics"
3,114-03,"Angewandte Sprachwissenschaften, Computerlinguistik","Applied Linguistics, Computational Linguistics"
2,115,Literaturwissenschaft,Literary Studies
3,115-01,Germanistische Mediävistik (Ältere deutsche Literatur),German Medieval Studies (Medieval German Literature)
3,115-02,Germanistische Literatur-und Kulturwissenschaften (Neuere deutsche Literatur),German Literary and Cultural Studies (Modern German Literature)
3,115-03,Europäische und Amerikanische Literatur- und Kulturwissenschaften,European and American Literary and Cultural Studies
3,115-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft,General and Comparative Literary Studies; Cultural Studies
2,116,"Sozial- und Kulturanthropologie, Außereuropäische Kulturen, Judaistik und Religionswissenschaft","Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies"
3,116-01,Ethnologie und Europäische Ethnologie,Social and Cultural Anthropology and Ethnology
3,116-02,Asienbezogene Wissenschaften,Asian Studies
3,116-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften","African, American and Oceania Studies"
3,116-04,"Islamwissenschaft, Arabistik, Semitistik","Islamic Studies, Arabian Studies, Semitic Studies"
3,116-05,Religionswissenschaft und Judaistik,Religious Studies and Jewish Studies
2,117,Theologie,Theology
3,117-01,Evangelische Theologie,Protestant Theology
3,117-02,Katholische Theologie,Roman Catholic Theology
2,118,Philosophie,Philosophy
3,118-01,Geschichte der Philosophie,History of Philosophy
3,118-02,Theoretische Philosophie,Theoretical Philosophy
3,118-03,Praktische Philosophie,Practical Philosophy
1,12,Sozial- und Verhaltenswissenschaften,Social and Behavioural Sciences
2,121,Erziehungswissenschaft und Bildungsforschung,Educational Research
3,121-01,Allgemeine und Historische Erziehungswissenschaft,General Education and History of Education
3,121-02,Allgemeines und fachbezogenes Lehren und Lernen,General and Domain-Specific Teaching and Learning
3,121-03,Bildungssysteme und Bildungsinstitutionen,Education Systems and Educational Institutions
3,121-04,Erziehungswissenschaftliche Sozialisations- und Professionalitätsforschung,"Educational Research on Socialisation, Welfare and Professionalism"
2,122,Psychologie,Psychology
3,122-01,"Allgemeine, Kognitive und Mathematische Psychologie","General, Cognitive and Mathematical Psychology"
3,122-02,Biologische Psychologie und Kognitive Neurowissenschaften,Biological Psychology and Cognitive Neuroscience
3,122-03,Entwicklungspsychologie und Pädagogische Psychologie,Developmental and Educational Psychology
3,122-04,Sozialpsychologie und Arbeits- und Organisationspsychologie,"Social Psychology, Industrial and Organisational Psychology"
3,122-05,"Persönlichkeitspsychologie, Klinische und Medizinische Psychologie, Methoden","Personality Psychology, Clinical and Medical Psychology, Methodology"
3,123,Sozialwissenschaften,Social Sciences
3,123-01,Soziologische Theorie,Sociological Theory
