notation,prefLabel
1,Bilderbücher
2,Märchen und Fabeln
3,Sagen und Legenden
4.1,Erzählungen für Kinder (6 - 9 Jahre)
4.2,"Gedichte, Reime und gemischte Sammlungen"
4.3,Kindersachbücher (weitere Erschließung ASB)
5.1,Erzählungen für Kinder (9 - 12 Jahre)
5.2,Jugendromane
5.3,Dramen und Gedichte
6,Jugendsachbücher (weitere Erschließung ASB)
7,Comics
